update,eta,alpha,n_epoch,bs,L1,mean_reg,var_reg,n_queries,user_sat
SP,1,0.5,4,4,0.5,5.617,,75.0,0.6
NCE,1,0.5,4,4,0.5,9.341,,80.0,0.5
MLE,1,0.5,4,4,0.5,0.514,,45.0,1.0
SP,2,0.5,4,4,0.5,9.195,,70.0,0.4
NCE,2,0.5,4,4,0.5,8.275,,60.0,0.7
MLE,2,0.5,4,4,0.5,0.895,,45.0,0.9
SP,5,0.5,4,4,0.5,18.884,,-1.0,0.2
NCE,5,0.5,4,4,0.5,8.003,,85.0,0.6
MLE,5,0.5,4,4,0.5,6.331,,65.0,0.6
SP,10,0.5,4,4,0.5,14.5,,-1.0,0.3
NCE,10,0.5,4,4,0.5,11.9,,70.0,0.4
MLE,10,0.5,4,4,0.5,7.693,,75.0,0.7
SP,2,0.5,4,4,0.5,9.195,,70.0,0.4
NCE,2,0.5,4,4,0.5,8.275,,60.0,0.7
MLE,2,0.5,4,4,0.5,0.895,,45.0,0.9
SP,2,1.0,4,4,0.5,3.667,,45.0,0.8
NCE,2,1.0,4,4,0.5,5.038,,45.0,0.8
MLE,2,1.0,4,4,0.5,9.598,,50.0,0.5
SP,2,2.0,4,4,0.5,10.474,,-1.0,0.6
NCE,2,2.0,4,4,0.5,9.342,,65.0,0.7
MLE,2,2.0,4,4,0.5,0.942,,45.0,0.9
SP,2,3.0,4,4,0.5,7.257,,65.0,0.6
NCE,2,3.0,4,4,0.5,6.665,,90.0,0.7
MLE,2,3.0,4,4,0.5,8.17,,50.0,0.4
